Original,Translation 1,Trnslation 2,Translation 3,Status
注意：所有地名和音译后必须用英文括号注明英文原文,,,,
# Fractions,,,,
Domain,Domain,人类联盟,,
Dassault-Mikoyan Engineering,达索-米高扬工程集团,达索-米高扬工程,,Tentative
Dassault-Mikoyan governing board,达索-米高扬董事会,达索-米高扬统治委员会,,Tentative
Sixth Bureau,第六特勤局,特勤六处,第六部队,Tentative
United Securities,联合安保,联合安全,,Tentative
Blade Breakers,破刃者,,,Tentative
Nikolaev System Authority,尼古拉耶夫星系管理局,,,Tentative
Kanta Cartel,坎塔垄断联盟,,,
,,,,
# Systems,,,,
Nikolaev ,尼古拉耶夫 (Nikolaev),,,Confirmed
martinique,马提尼克 (Martinique),,,Confirmed
kostroma,科斯特罗马 (Kostroma),,,Confirmed
besson,贝松,,,Tentative
aleph,阿列夫,,,Tentative
dalet,,,,
kaf,,,,
yod,,,,
Magec,麦吉克 (Magec),,,Tentative
,,,,
# Stations & Planets,,,,
Peremohy,胜利 (Peremohy),胜利星,,Tentative
Peremohy Highport,胜利自由港 (Peremohy Highport),凯旋自由港,,Tentative
Valjean,瓦吉安 (Valjean),,,Tentative
Antilles ,安提列斯 (Antilles),,,Tentative
Antilles Starport,安提列斯星港 (Antilles Starport),,,Tentative
Marie-Galante,玛丽-格兰特 (Marie-Galante),,,Tentative
Odessa,奥德萨 (Odessa),,,Tentative
,,,,
,,,,
# Common Vocabularies,,,,
Fraction,势力,派系,,Confirmed
Shield,护盾,,,Confirmed
Thruster,推进器,,,Confirmed
Gantry,龙门架,,,Confirmed
Salvage,打捞,救援,,Confirmed
Frigate,护卫舰,,,Confirmed
Destroyer,驱逐舰,,,Confirmed
Cruiser,巡洋舰,,,Confirmed
Battleship,战列舰,战舰,,Confirmed
Carrier,航空母舰,航母,,Confirmed
refit time,整备时间,,,Confirmed
Terraforming,地球化,,,Confirmed
,,,,
# Special Vocabularies,,,,
the Collapse,大崩溃,,,Confirmed
sporeship,孢子舰,孢子船,,Tentative
,,,,
,,,,
,,,,
,,,,
